organization,position,startDate,endDate,status,department,seniority,person_id,job_count,job_duration_years
Depot4Design GmbH,Prokurist,2019-08,2025-12,ACTIVE,Other,Management,0,6,6.33972602739726
Depot4Design GmbH,CFO,2019-07,2025-12,ACTIVE,Other,Management,0,6,6.424657534246576
Depot4Design GmbH,Betriebswirtin,2019-07,2025-12,ACTIVE,Other,Professional,0,6,6.424657534246576
Depot4Design GmbH,Prokuristin,2019-07,2025-12,ACTIVE,Other,Management,0,6,6.424657534246576
Depot4Design GmbH,CFO,2019-07,2025-12,ACTIVE,Other,Management,0,6,6.424657534246576
Nagel Car Group,Buchhalterin,2000-05,2019-06,INACTIVE,Other,Professional,0,6,19.095890410958905
Computer Solutions,Solutions Architect,2024-03,2025-12,ACTIVE,Information Technology,Professional,1,8,1.7534246575342465
Computer Solutions,Senior Network Engineer,2019-07,2024-03,INACTIVE,Information Technology,Senior,1,8,4.671232876712328
Texas A&M University-Corpus Christi,Manager of Network Services,2017-02,2019-07,INACTIVE,Information Technology,Professional,1,8,2.410958904109589
Texas A&M University-Corpus Christi,Infrastructure Administrator II,2015-06,2017-02,INACTIVE,Information Technology,Professional,1,8,1.673972602739726
Texas A&M University at Qatar,Lead Network Engineer,2012-12,2015-06,INACTIVE,Information Technology,Lead,1,8,2.4986301369863013
Texas A&M University at Qatar,Senior Systems Administrator,2010-02,2012-12,INACTIVE,Information Technology,Senior,1,8,2.8328767123287673
Texas A&M Forest Service,Network Systems Administrator II,2006-04,2010-02,INACTIVE,Information Technology,Professional,1,8,3.841095890410959
MicroAge College Station,Support Specialist,2002-10,2006-04,INACTIVE,Customer Support,Professional,1,8,3.5013698630136987
Udo Weber,Medizintechnik Beratung,2025-01,2025-12,ACTIVE,Consulting,Professional,2,3,0.915068493150685
Med 360°,Projektleiter Medizintechnik,2023-01,2024-12,INACTIVE,Project Management,Lead,2,3,1.917808219178082
Philips,Nationaler Account-Manager,1987-04,2022-12,INACTIVE,Sales,Professional,2,3,35.69315068493151
Grupo Viajes Kontiki.,Director expansión de negocio.,2024-09,2025-12,ACTIVE,Business Development,Director,3,7,1.2493150684931507
Air & Ground Operations Consultancy,Gerente comercial,2024-04,2025-12,ACTIVE,Sales,Lead,3,7,1.6684931506849314
Viajes Oceano S.L.,Administrador Unico,2010-12,2025-12,ACTIVE,Administrative,Professional,3,7,15.01095890410959
TDCS Travelport official partner,Gerente general comercial,2023-04,2024-05,INACTIVE,Sales,Lead,3,7,1.084931506849315
"Smyland, Logitravel group",Director Desarrollo de Negocio,2015-05,2023-04,INACTIVE,Business Development,Director,3,7,7.923287671232877
Confederación Española de Agencias de Viajes,Presidente,2011-11,2023-04,INACTIVE,Other,Director,3,7,11.421917808219177
Vik Hotel Group,Director Comercial Corporativo Agencias de Viajes España.,2010-12,2015-03,INACTIVE,Sales,Director,3,7,4.249315068493151
Himmelstalunds Utbildningscentrum,"APL-ansvarig, samordning",2019-08,2025-12,ACTIVE,Administrative,Lead,4,8,6.33972602739726
ABC Kraften,Utbildningsledare inom Servicekunskap och Försäljning,2018-01,2019-08,INACTIVE,Sales,Lead,4,8,1.5808219178082192
Trind AB,"Marknadsförare, Verksamhetsplanerare",2016-01,2017-01,INACTIVE,Marketing,Professional,4,8,1.0027397260273974
Telia Company,Customer Solution Consultant B2B,2012-01,2015-01,INACTIVE,Consulting,Professional,4,8,3.0027397260273974
Telia Company,"Uppdragsledare, Lösningsrådgivare",2006-01,2012-01,INACTIVE,Consulting,Lead,4,8,6.002739726027397
TeliaSonera,Customer Sales Specialist B2B,2003-01,2006-01,INACTIVE,Sales,Professional,4,8,3.0027397260273974
Telia Communications,Affärsutvecklare,1999-01,2003-01,INACTIVE,Business Development,Professional,4,8,4.002739726027397
Telia AB,Account Manager B2B,1995-01,1999-01,INACTIVE,Sales,Professional,4,8,4.002739726027397
FSD Fahrzeugsystemdaten GmbH,Kaufmännischer Leiter,2007-05,2025-12,ACTIVE,Sales,Lead,5,2,18.6
KPMG,Prüfungsleiter,1997-09,2007-05,INACTIVE,Other,Lead,5,2,9.668493150684931
MacDermid Enthone Industrial Solutions,Lab-Supervisor,2007-01,2025-12,ACTIVE,Other,Lead,6,1,18.92876712328767
Boise Cascade Company,Human Resources Generalist,2023-12,2025-12,ACTIVE,Human Resources,Professional,7,7,2.0027397260273974
Boise Cascade Company,Shipping Supervisor,2021-06,2023-12,INACTIVE,Other,Lead,7,7,2.5013698630136987
Boise Cascade Company,"Safety Coordinator, COSS",2017-12,2021-06,INACTIVE,Other,Lead,7,7,3.5013698630136987
Pacific Drilling (NYSE: PACD),Floorhand,2016-10,2017-06,INACTIVE,Other,Professional,7,7,0.6657534246575343
Pacific Drilling (NYSE: PACD),Roustabout,2015-03,2016-10,INACTIVE,Other,Professional,7,7,1.5890410958904109
United States Air Force,Electrical Power Production Journeyman,2011-01,2014-07,INACTIVE,Information Technology,Professional,7,7,3.4986301369863013
Bolton Ford,Internet Sales Manager,2009-02,2010-02,INACTIVE,Sales,Professional,7,7,1.0
PhoboSys GmbH,Managing Director,2016-01,2025-12,ACTIVE,Other,Management,8,5,9.923287671232877
Christian Ammann - Engineering and Research,Freelancer,2011-01,2015-12,INACTIVE,Other,Professional,8,5,4.917808219178082
Fraunhofer IIS,Scientific Researcher,2013-03,2015-06,INACTIVE,Other,Professional,8,5,2.252054794520548
Osnabrück University of Applied Science,Scientific Researcher,2009-10,2013-02,INACTIVE,Other,Professional,8,5,3.33972602739726
University of Oldenburg,Student Assistant,2006-06,2009-05,INACTIVE,Other,Junior,8,5,2.9178082191780823
*,Meister,2023-01,2025-12,ACTIVE,Other,Lead,9,1,2.9178082191780823
Postbank Systems AG,Applikation Analyst Senior,2023-01,2025-12,ACTIVE,Information Technology,Senior,10,1,2.9178082191780823
Twentieth Century Fox,Set Lighting,2000-01,2025-12,ACTIVE,Other,Professional,11,5,25.934246575342467
Sony,Set Lighting,2000-01,2025-12,ACTIVE,Other,Professional,11,5,25.934246575342467
Warner Bros. Studios,Set Lighting,2000-01,2025-12,ACTIVE,Other,Professional,11,5,25.934246575342467
Paramount,Set Lighting,2000-01,2025-12,ACTIVE,Other,Professional,11,5,25.934246575342467
NBCUniversal,Set Lighting,2000-01,2025-12,ACTIVE,Other,Professional,11,5,25.934246575342467
msg systems ag,Projektmanager,2018-02,2025-12,ACTIVE,Project Management,Professional,12,2,7.835616438356165
HypoVereinsbank - UniCredit Bank AG,Prozess- und Anforderungsmanager,2001-06,2018-01,INACTIVE,Project Management,Professional,12,2,16.5972602739726
Landeshauptstadt Wiesbaden,Leistungssachbearbeiter SGB II,2017-12,2025-12,ACTIVE,Other,Professional,13,1,8.005479452054795
ee concept gmbh,energy and sustainability consultant bei,2014-01,2025-12,ACTIVE,Consulting,Professional,14,2,11.923287671232877
EURAC Research,Researcher,2009-01,2013-12,INACTIVE,Other,Professional,14,2,4.917808219178082
ACCOPPIATURA DI ASOLO S.P.A.,Purchasing Manager,2019-09,2025-12,ACTIVE,Purchasing,Professional,15,1,6.254794520547946
Team Jösten,Geschäftsführer,2005-07,2025-12,ACTIVE,Other,Management,16,1,20.432876712328767
AWISTA GmbH,Abfallberaterin,2023-01,2025-12,ACTIVE,Other,Professional,17,1,2.9178082191780823
Swiss Life Asset Managers Deutschland,Senior Project Manager,2021-09,2025-12,ACTIVE,Project Management,Senior,18,4,4.252054794520548
RENTIVATE,Co-Founder & CEO,2019-11,2023-12,INACTIVE,Other,Management,18,4,4.0849315068493155
BEOS AG,Project Manager,2017-01,2019-11,INACTIVE,Project Management,Professional,18,4,2.8328767123287673
ABJ. Planungsgesellschaft mbH,Assistant,2016-10,2017-01,INACTIVE,Administrative,Junior,18,4,0.25205479452054796
tdc,inspektør,2023-01,2025-12,ACTIVE,Other,Professional,19,1,2.9178082191780823
Selbstständig,Dr. phil.,2024-09,2025-12,ACTIVE,Other,Professional,20,6,1.2493150684931507
