organization,linkedin,position,startDate,endDate,status,person_id
"Keeping The Books, Bookkeeping",,Bookkeeper,2023-03,,ACTIVE,0
Playful Paws,,Co-Owner,2018-11,,ACTIVE,0
S&R services,,Logistics Officer,2019-09,2024-04,INACTIVE,0
ABC Supply Co. Inc.,https://www.linkedin.com/company/abc-supply,Truck driver/ laborer,2019-03,2019-09,INACTIVE,0
MB Railways,,Fuel Driver,2018-03,2019-03,INACTIVE,0
Sysco,https://www.linkedin.com/company/sysco,Food Delivery Driver,2017-10,2018-02,INACTIVE,0
UPS Freight,https://www.linkedin.com/company/ups-freight,Regional driver,2016-10,2017-03,INACTIVE,0
Domino's Pizza,,delivery/sales/MIT,2012-04,2012-06,INACTIVE,0
Erste Bank und Sparkasse,https://www.linkedin.com/company/erste-bank-und-sparkasse,Strategy & Investments,2025-03,,ACTIVE,1
DO & CO AG,https://www.linkedin.com/company/do&co,International Event Operations Manager,2022-11,2024-05,INACTIVE,1
WU (Vienna University of Economics and Business),,Research Associate,2021-03,2022-04,INACTIVE,1
Baker McKenzie,https://www.linkedin.com/company/baker-&-mckenzie,Law Clerk,2021-05,2022-02,INACTIVE,1
Deloitte,https://www.linkedin.com/company/deloitte,Audit Junior,2021-02,2021-04,INACTIVE,1
Austrian Parliament,https://www.linkedin.com/company/austrian-parliament,PR & Communication Consultant,2020-05,2021-01,INACTIVE,1
UniCredit Bank Austria AG,https://www.linkedin.com/company/unicredit-bank-austria-ag,Regulatory Reporting Specialist,2017-06,2019-08,INACTIVE,1
Se2 Solutions Service & Security GmbH,https://www.linkedin.com/company/se2-solutions-service-security-gmbh,Event Support,2016-11,2017-06,INACTIVE,1
DC Bank AG (Diners Club Austria & Germany),,Customer Service Assistant,2016-02,2016-04,INACTIVE,1
Ludwig Boltzmann Institute for Experimental and Clinical Traumatology,https://www.linkedin.com/company/ludwig-boltzmann-institute-for-experimental-and-clinical-traumatology,Summer Research Intern,2014-07,2014-08,INACTIVE,1
The University of Glasgow,,Summer Research Intern,2013-06,2013-08,INACTIVE,1
ESW Consulting Wruss Ziviltechnikergesellschaft mbH,https://www.linkedin.com/company/esw-consulting-wruss-ziviltechnikergesellschaft-mbh,Intern,2012-08,2012-08,INACTIVE,1
University of Graz,,Summer Research Intern,2011-06,2011-07,INACTIVE,1
Guido Meyer,,Corporate Auditor,2022-07,,ACTIVE,2
Guido Meyer,,Corporate Auditor,2022-07,,ACTIVE,2
Advicing,,Consultant,,,UNKNOWN,3
Tradeware AG,https://www.linkedin.com/company/tradeware-ag,Marketing Manager,2020-07,,ACTIVE,4
Smartec Services AG,https://www.linkedin.com/company/smartec-services-ag,Marketing Manager,2019-01,2020-06,INACTIVE,4
The DocuCollege Ltd.,,Geschäftsführerin,2004-01,2018-12,INACTIVE,4
The DocuCollege Ltd.,,Chief Operating Officer,2003-01,2003-12,INACTIVE,4
The DocuCollege Ltd.,,Marketing Manager,2001-03,2002-12,INACTIVE,4
20 Minuten,https://www.linkedin.com/company/20minuten,Business Development Manager,2000-11,2001-01,INACTIVE,4
Xerox,https://www.linkedin.com/company/xerox,Business-Manager,1998-03,2000-10,INACTIVE,4
AXEED Informatik AG,,Marketing Manager,1995-11,1998-02,INACTIVE,4
Monash University,,Professor,2022-07,,ACTIVE,5
Monash University,,"Deputy Dean, Faculty of IT",2022-07,,ACTIVE,5
Monash University,,Head of Department Software Systems and Cybersecurity,2020-01,2022-06,INACTIVE,5
Monash University,,Associate Professor,2015-09,2022-06,INACTIVE,5
Oceania Cyber Security Centre #OCSC,https://www.linkedin.com/company/oceania-cyber-security-centre,Research Director,2020-01,,ACTIVE,5
Oceania Cyber Security Centre #OCSC,https://www.linkedin.com/company/oceania-cyber-security-centre,Director,2016-10,2019-12,INACTIVE,5
Huawei Technologies,https://www.linkedin.com/company/huawei,"Leader of Trusted Computing Research, European Research Centre",2015-04,2015-08,INACTIVE,5
Fraunhofer Institute for Secure Information Technology SIT,https://www.linkedin.com/company/fraunhofer-sit,Head of Research Department Trust and Compliance,2005,2015-03,INACTIVE,5
Fraunhofer Institute for Secure Information Technology SIT,,Post-Doc Full-time Researcher,2001,2004,INACTIVE,5
GMD Institute for Telecooperation Technology,,Postgraduate Research Assistant,1997,2001,INACTIVE,5
Faurecia Innenraum Systeme GmbH,,Program Purchasing Leader / Program / Acquisition Buyer,2004-05,,ACTIVE,6
Siemens VDO Automotive AG,,Advanced Purchasing Engineer,2000-12,2004-04,INACTIVE,6
SAI Automotive SAL GmbH,,Projekteinkäufer Türmodule,1999-07,2000-11,INACTIVE,6
YMOS AG / Magna Exterior Systems GmbH,,Fachspezialist Einkauf,1995-07,1999-06,INACTIVE,6
Poder judiciário de Santa Catarina,,Juiz de Direito,,,UNKNOWN,7
ALSO Deutschland GmbH,https://www.linkedin.com/company/alsogroup,Business Analyst,1992-06,,ACTIVE,8
DU MUSST KÄMPFEN gGmbH,,Geschäftsführer,,,UNKNOWN,9
Brandtner IT,,Managementberater IT- und Governance,2024-03,,ACTIVE,10
NOVENTI Health SE,https://www.linkedin.com/company/noventi,CIO,2019,2024-03,INACTIVE,10
VSA GmbH,https://www.linkedin.com/company/vsa-gmbh,Geschäftsführer,2015-12,2018-04,INACTIVE,10
VSA GmbH,https://www.linkedin.com/company/vsa-gmbh,IT-Bereichsleiter,2008-07,2015-11,INACTIVE,10
VSA GmbH,https://www.linkedin.com/company/vsa-gmbh,Fachbereichsleiter IT-Services,2006-01,2008-06,INACTIVE,10
VSA GmbH,https://www.linkedin.com/company/vsa-gmbh,Abteilungsleiter IT-Produktion und Systemtechnik,1999-07,2005-12,INACTIVE,10
Phadiso GmbH,,Geschäftsführer,2011-08,2013-08,INACTIVE,10
Verband der Angestellten- Krankenkassen,https://www.linkedin.com/company/verband-der-angestellten--krankenkassen,"Projektleiter, Teamleiter",1993-06,1999-06,INACTIVE,10
Escom Computervertriebs GmbH,,"PC-Support und Installation, Verkauf",1988-06,1993-06,INACTIVE,10
Universität Koblenz-Landau,,Informatik Studium,1988-06,1993-06,INACTIVE,10
DGC FILM WORKS,https://www.linkedin.com/company/dgcfilmworks,Founder & CEO,2020-06,,ACTIVE,11
DGC FILM WORKS,https://www.linkedin.com/company/dgcfilmworks,Senior Video Editor,2016-01,,ACTIVE,11
DGC FILM WORKS,https://www.linkedin.com/company/dgcfilmworks,Senior Video Editor,2014-06,,ACTIVE,11
Mumbai,,DI Colorist,2018-01,2018-03,INACTIVE,11
auris Steuerberatung OG,,Geschäftsführer,2019-10,,ACTIVE,12
TPA Steuerberatung GmbH,,Director,2007-10,2019-05,INACTIVE,12
20th Century Fox,https://www.linkedin.com/company/20th-century-studios,Senior Publicist,,,UNKNOWN,13
Daimler AG,https://www.linkedin.com/company/mercedes-benz_ag,Manager,1997-11,,ACTIVE,14
Deutsche Bausparkasse Badenia AG,https://www.linkedin.com/company/deutsche-bausparkasse-badenia-ag,Freier Agent / Handelsvertreter,1990,2009,INACTIVE,14
AXA,https://www.linkedin.com/company/axa,Freier Agent / Handelsvertreter,1986,2009,INACTIVE,14
BMW Group,https://www.linkedin.com/company/bmw-group,Assistant to the Managing Director,1997,1997,INACTIVE,14
Bau- und Estrichunternehmen Udo Heinisch,,Teilhabender Geschäftsführer,1994,1997,INACTIVE,14
Kreatives Haardesign,,General Manager und Geschäftsinhaber,1992,1997,INACTIVE,14
Bundeswehr,https://www.linkedin.com/company/bundeswehr,Soldat,1986,1997,INACTIVE,14
"DIK, Deutsches Institut für Kapitalanlagen",,Assistent to Managing Director,1984,1985,INACTIVE,14
Allianz,https://www.linkedin.com/company/allianz,Versicherungskaufmann,1981,1984,INACTIVE,14
papperts GmbH,https://www.linkedin.com/company/papperts-gmbh,Verkäufer,,,UNKNOWN,15
Gladsaxe Kommune,https://www.linkedin.com/company/gladsaxekommune,Koordinerende sagsbehandler,2022-05,,ACTIVE,16
Aglukon Spezialdünger GmbH & Co. KG,https://www.linkedin.com/company/aglukon,Head of Supply Chain,2024-09,,ACTIVE,17
Aglukon Spezialdünger GmbH & Co. KG,https://www.linkedin.com/company/aglukon,Digitalisierungsmanager,2023-07,2024-09,INACTIVE,17
Aglukon Spezialdünger GmbH & Co. KG,https://www.linkedin.com/company/aglukon,Trainee Quality Management / Communication Management,2022-06,2023-06,INACTIVE,17
Universität zu Köln,,Wissenschaftlicher Mitarbeiter mit akademischem Abschluss,2019-09,2022-05,INACTIVE,17
delta pronatura GmbH,https://www.linkedin.com/company/drbeckmanngroup,Director of Finance (China),2024-08,,ACTIVE,18
Shanghai Volkswagen Powertrain Company Ltd.,https://www.linkedin.com/company/shanghai-volkswagen-powertrain-company-ltd-,Director Of Finance,2022-07,2024-08,INACTIVE,18
Volkswagen Group China,https://www.linkedin.com/company/volkswagen-group-china,Head of Automotive Strategy & New Business - Group Finance,2020-12,2022-06,INACTIVE,18
Volkswagen Group China,https://www.linkedin.com/company/volkswagen-group-china,Project Manager - Volkswagen Consulting,2016-01,2020-12,INACTIVE,18
Superdry Container Desiccant,,Interim Sales Manager,2015-08,2015-12,INACTIVE,18
Struktur Management Partner GmbH,https://www.linkedin.com/company/struktur-management-partner-gmbh,Senior Consultant,2014-04,2015-07,INACTIVE,18
Struktur Management Partner,,Consultant,2012-09,2014-04,INACTIVE,18
Qingdao German Service Center,,Project assistant intern,2012-01,2012-07,INACTIVE,18
Bettina Kern,https://www.linkedin.com/company/bettina-kern,Inhaber,1994-03,,ACTIVE,19
Bettina Kern,https://www.linkedin.com/company/bettina-kern,Inhaber,1994-01,2024-01,INACTIVE,19
Bettina Kern,https://www.linkedin.com/company/bettina-kern,TouchLife Massage Praktikerin,2015-07,2015-12,INACTIVE,19
Bettina Kern,https://www.linkedin.com/company/bettina-kern,"div. Coachingausbildungen (Barbara Sher, Angelika Gulder)",2007,2013,INACTIVE,19
Bettina Kern,https://www.linkedin.com/company/bettina-kern,Entspannungspädagogin AGL,2011,2012,INACTIVE,19
Frankfurter Volksbank Rhein/Main,https://www.linkedin.com/company/frankfurter-volksbank-rheinmain,Bankangestellte,2024-04,2024-09,INACTIVE,19
Appian Deutschland,https://www.linkedin.com/company/appian-deutschland-software-gmbh,Marketing Contractor,2017-01,2024-09,INACTIVE,19
dsb ebusiness GmbH,https://www.linkedin.com/company/dsb-ebusiness-gmbh,"Sachbearbeiterin Buchhaltung, Eventmanagement.",2015-03,2024-01,INACTIVE,19
Gies und Heimburger GmbH,https://www.linkedin.com/company/gies-und-heimburger-gmbh,Social Media-Koordinator,2020-11,2022-12,INACTIVE,19
Königsteiner Akademie Gesellschaft für persönliche Weiterbildung mbH,https://www.linkedin.com/company/königsteiner-akademie-gesellschaft-für-persönliche-weiterbildung-mbh,"Veranstaltungsassistenz, Trainerin",2016-06,2021-03,INACTIVE,19
Dell EMC,https://www.linkedin.com/company/delltechnologies,"Contractor, external service provider - Marketing, Events",2003-10,2016-12,INACTIVE,19
Bettina Kern - Coaching,,Job bzw. Berufungs-Findungs-Coach,2009-03,2013-01,INACTIVE,19
Leadership Choices,https://www.linkedin.com/company/leadership-choices,"Assistenz, Veranstaltungsvorbereitung, freie Mitarbeiterin",2007,2010,INACTIVE,19
STADA,https://www.linkedin.com/company/stada,Assistentin im Bereich Gesundheitspolitik und GF Assistenz,2003-11,2005-01,INACTIVE,19
DIS AG,https://www.linkedin.com/company/dis-ag,"verschiedene Positionen, z.B. Assistenz, Sekretariat, Sachbearbeitung",2001,2002,INACTIVE,19
IKEA Group,https://www.linkedin.com/company/ikea,Buchhalterin,1999,2001,INACTIVE,19
Frankfurter Volksbank eG,https://www.linkedin.com/company/frankfurter-volksbank-rheinmain,"Bankkauffrau, verschiedene Positionen",1995,1999,INACTIVE,19
Königsteiner Volksbank eG,,"Bankkauffrau, verschiedene Positionen",1990,1995,INACTIVE,19
Policen Direkt-Gruppe,https://www.linkedin.com/company/policen-direkt-gmbh,Geschäftsführer CFO,2004-01,,ACTIVE,20
cash.life AG,https://www.linkedin.com/company/cash-life-ag,Vorstand,2022-10,,ACTIVE,20
cash.life AG,https://www.linkedin.com/company/cash-life-ag,Aufsichtsrat,2022-03,2022-10,INACTIVE,20
Thinksurance,https://www.linkedin.com/company/thinksurance-gmbh,Investor,2015,,ACTIVE,20
Covomo Versicherungsvergleich GmbH,https://www.linkedin.com/company/covomo-versicherungsvergleich-gmbh,Investor,2014,,ACTIVE,20
r2b energy consulting GmbH,https://www.linkedin.com/company/r2b-energy-consulting,Mitglied der Geschäftsleitung,2025-01,,ACTIVE,21
r2b energy consulting GmbH,https://www.linkedin.com/company/r2b-energy-consulting,Manager,2020-03,2025-01,INACTIVE,21
r2b energy consulting GmbH,https://www.linkedin.com/company/r2b-energy-consulting,Senior Berater,2018-02,2020-03,INACTIVE,21
SE Scherbeck Energy GmbH,https://www.linkedin.com/company/scherbeck-energy,Senior Consultant,2016-08,2018-01,INACTIVE,21
r2b energy consulting GmbH,https://www.linkedin.com/company/r2b-energy-consulting,Berater,2013-01,2016-07,INACTIVE,21
Owens Corning,https://www.linkedin.com/company/owens-corning,"Global Marketing Director, Nonwovens",2024-11,,ACTIVE,22
