organization,linkedin,position,startDate,endDate,status,department,seniority,person_id
Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Prokurist,2019-08,,ACTIVE,Other,Management,0
Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,CFO,2019-07,,ACTIVE,Other,Management,0
Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Betriebswirtin,2019-07,,ACTIVE,Other,Professional,0
Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,Prokuristin,2019-07,,ACTIVE,Other,Management,0
Depot4Design GmbH,https://www.linkedin.com/company/depot4design-gmbh,CFO,2019-07,,ACTIVE,Other,Management,0
Nagel Car Group,,Buchhalterin,2000-05,2019-06,INACTIVE,Other,Professional,0
Computer Solutions,https://www.linkedin.com/company/computer-solutions,Solutions Architect,2024-03,,ACTIVE,Information Technology,Professional,1
Computer Solutions,https://www.linkedin.com/company/computer-solutions,Senior Network Engineer,2019-07,2024-03,INACTIVE,Information Technology,Senior,1
Texas A&M University-Corpus Christi,,Manager of Network Services,2017-02,2019-07,INACTIVE,Information Technology,Professional,1
Texas A&M University-Corpus Christi,,Infrastructure Administrator II,2015-06,2017-02,INACTIVE,Information Technology,Professional,1
Texas A&M University at Qatar,,Lead Network Engineer,2012-12,2015-06,INACTIVE,Information Technology,Lead,1
Texas A&M University at Qatar,,Senior Systems Administrator,2010-02,2012-12,INACTIVE,Information Technology,Senior,1
Texas A&M Forest Service,https://www.linkedin.com/company/texasforestservice,Network Systems Administrator II,2006-04,2010-02,INACTIVE,Information Technology,Professional,1
MicroAge College Station,https://www.linkedin.com/company/avinext,Support Specialist,2002-10,2006-04,INACTIVE,Customer Support,Professional,1
Udo Weber,https://www.linkedin.com/company/udo-weber,Medizintechnik Beratung,2025-01,,ACTIVE,Consulting,Professional,2
Med 360°,https://www.linkedin.com/company/med-360-grad,Projektleiter Medizintechnik,2023-01,2024-12,INACTIVE,Project Management,Lead,2
Philips,https://www.linkedin.com/company/philips,Nationaler Account-Manager,1987-04,2022-12,INACTIVE,Sales,Professional,2
Grupo Viajes Kontiki.,,Director expansión de negocio.,2024-09,,ACTIVE,Business Development,Director,3
Air & Ground Operations Consultancy,https://www.linkedin.com/company/agoc-spain,Gerente comercial,2024-04,,ACTIVE,Sales,Lead,3
Viajes Oceano S.L.,,Administrador Unico,2010-12,,ACTIVE,Administrative,Professional,3
TDCS Travelport official partner,https://www.linkedin.com/company/tdcs-powered-by-travelport,Gerente general comercial,2023-04,2024-05,INACTIVE,Sales,Lead,3
"Smyland, Logitravel group",,Director Desarrollo de Negocio,2015-05,2023-04,INACTIVE,Business Development,Director,3
Confederación Española de Agencias de Viajes,,Presidente,2011-11,2023-04,INACTIVE,Other,Director,3
Vik Hotel Group,https://www.linkedin.com/company/vik-hotel-group,Director Comercial Corporativo Agencias de Viajes España.,2010-12,2015-03,INACTIVE,Sales,Director,3
Himmelstalunds Utbildningscentrum,,"APL-ansvarig, samordning",2019-08,,ACTIVE,Administrative,Lead,4
ABC Kraften,https://www.linkedin.com/company/abc-kraften,Utbildningsledare inom Servicekunskap och Försäljning,2018,2019-08,INACTIVE,Sales,Lead,4
Trind AB,,"Marknadsförare, Verksamhetsplanerare",2016,2017,INACTIVE,Marketing,Professional,4
Telia Company,https://www.linkedin.com/company/teliacompany,Customer Solution Consultant B2B,2012,2015,INACTIVE,Consulting,Professional,4
Telia Company,https://www.linkedin.com/company/teliacompany,"Uppdragsledare, Lösningsrådgivare",2006,2012,INACTIVE,Consulting,Lead,4
TeliaSonera,,Customer Sales Specialist B2B,2003,2006,INACTIVE,Sales,Professional,4
Telia Communications,,Affärsutvecklare,1999,2003,INACTIVE,Business Development,Professional,4
Telia AB,,Account Manager B2B,1995,1999,INACTIVE,Sales,Professional,4
FSD Fahrzeugsystemdaten GmbH,,Kaufmännischer Leiter,2007-05,,ACTIVE,Sales,Lead,5
KPMG,https://www.linkedin.com/company/kpmg,Prüfungsleiter,1997-09,2007-05,INACTIVE,Other,Lead,5
MacDermid Enthone Industrial Solutions,https://www.linkedin.com/company/macdermid-enthone-industrial-solutions,Lab-Supervisor,2007,,ACTIVE,Other,Lead,6
Boise Cascade Company,https://www.linkedin.com/company/boise-cascade,Human Resources Generalist,2023-12,,ACTIVE,Human Resources,Professional,7
Boise Cascade Company,https://www.linkedin.com/company/boise-cascade,Shipping Supervisor,2021-06,2023-12,INACTIVE,Other,Lead,7
Boise Cascade Company,https://www.linkedin.com/company/boise-cascade,"Safety Coordinator, COSS",2017-12,2021-06,INACTIVE,Other,Lead,7
Pacific Drilling (NYSE: PACD),https://www.linkedin.com/company/pacific-drilling,Floorhand,2016-10,2017-06,INACTIVE,Other,Professional,7
Pacific Drilling (NYSE: PACD),https://www.linkedin.com/company/pacific-drilling,Roustabout,2015-03,2016-10,INACTIVE,Other,Professional,7
United States Air Force,https://www.linkedin.com/company/united-states-air-force,Electrical Power Production Journeyman,2011-01,2014-07,INACTIVE,Information Technology,Professional,7
Bolton Ford,,Internet Sales Manager,2009-02,2010-02,INACTIVE,Sales,Professional,7
PhoboSys GmbH,https://www.linkedin.com/company/phobosys-gmbh,Managing Director,2016-01,,ACTIVE,Other,Management,8
Christian Ammann - Engineering and Research,,Freelancer,2011,2015-12,INACTIVE,Other,Professional,8
Fraunhofer IIS,https://www.linkedin.com/company/fraunhofer-iis,Scientific Researcher,2013-03,2015-06,INACTIVE,Other,Professional,8
Osnabrück University of Applied Science,,Scientific Researcher,2009-10,2013-02,INACTIVE,Other,Professional,8
University of Oldenburg,,Student Assistant,2006-06,2009-05,INACTIVE,Other,Junior,8
*,,Meister,,,UNKNOWN,Other,Lead,9
Postbank Systems AG,,Applikation Analyst Senior,,,UNKNOWN,Information Technology,Senior,10
Twentieth Century Fox,https://www.linkedin.com/company/20th-century-studios,Set Lighting,2000-01,,ACTIVE,Other,Professional,11
Sony,https://www.linkedin.com/company/sony,Set Lighting,2000-01,,ACTIVE,Other,Professional,11
Warner Bros. Studios,https://www.linkedin.com/company/warner-bros.-studios,Set Lighting,2000-01,,ACTIVE,Other,Professional,11
Paramount,https://www.linkedin.com/company/paramountco,Set Lighting,2000-01,,ACTIVE,Other,Professional,11
NBCUniversal,https://www.linkedin.com/company/nbcuniversal-inc-,Set Lighting,2000-01,,ACTIVE,Other,Professional,11
msg systems ag,,Projektmanager,2018-02,,ACTIVE,Project Management,Professional,12
HypoVereinsbank - UniCredit Bank AG,https://www.linkedin.com/company/hypovereinsbank,Prozess- und Anforderungsmanager,2001-06,2018-01,INACTIVE,Project Management,Professional,12
Landeshauptstadt Wiesbaden,https://www.linkedin.com/company/stadt-wiesbaden,Leistungssachbearbeiter SGB II,2017-12,,ACTIVE,Other,Professional,13
ee concept gmbh,,energy and sustainability consultant bei,2014-01,,ACTIVE,Consulting,Professional,14
EURAC Research,https://www.linkedin.com/company/euracresearch,Researcher,2009-01,2013-12,INACTIVE,Other,Professional,14
ACCOPPIATURA DI ASOLO S.P.A.,https://www.linkedin.com/company/asoltex,Purchasing Manager,2019-09,,ACTIVE,Purchasing,Professional,15
Team Jösten,https://www.linkedin.com/company/team-jösten,Geschäftsführer,2005-07,,ACTIVE,Other,Management,16
AWISTA GmbH,,Abfallberaterin,,,UNKNOWN,Other,Professional,17
Swiss Life Asset Managers Deutschland,https://www.linkedin.com/company/swiss-life-asset-managers-deutschland,Senior Project Manager,2021-09,,ACTIVE,Project Management,Senior,18
RENTIVATE,,Co-Founder & CEO,2019-11,2023-12,INACTIVE,Other,Management,18
BEOS AG,https://www.linkedin.com/company/beos-ag,Project Manager,2017-01,2019-11,INACTIVE,Project Management,Professional,18
ABJ. Planungsgesellschaft mbH,,Assistant,2016-10,2017-01,INACTIVE,Administrative,Junior,18
tdc,,inspektør,,,UNKNOWN,Other,Professional,19
Selbstständig,,Dr. phil.,2024-09,,ACTIVE,Other,Professional,20
German School Bratislava,,Instructor,2021-08,2024-07,INACTIVE,Other,Professional,20
Kassel University - Department of Philosophy,,Dr. phil.,2017-08,2021-09,INACTIVE,Other,Professional,20
Lichtenberg School,,"Teacher: History, Ethics, French",2008-08,2017-07,INACTIVE,Other,Professional,20
German School Beijing (China),,"Teacher: History, Ethics, French",2002-08,2008-07,INACTIVE,Other,Professional,20
"Universities: Chuncheon, Hannam, Hongik (South Korea)",,Dr. phil. - German Studies,1990-02,1999-01,INACTIVE,Other,Professional,20
Thurm GmbH,https://www.linkedin.com/company/thurm-gmbh,"Geschäftsführer, CMO",2014-07,,ACTIVE,Marketing,Management,21
Gebrüder Weiß & Cie. KG,,Geschäftsführender Gesellschafter,2012-01,,ACTIVE,Other,Management,21
Hartlauer Handelsgesellschaft mbH,,Verantowrtlicher Online/CRM,2009-01,2011-12,INACTIVE,Marketing,Professional,21
Vorruhestand,,Bereichsleiter Maschinen,1996-07,,ACTIVE,Other,Lead,22
RAG,,bereichsleiter,1979-07,2007-07,INACTIVE,Other,Lead,22
Maschinenbau,,Albert Böcker,1971-07,1975-07,INACTIVE,Other,Professional,22
Etse Electronics (Pty) Ltd,https://www.linkedin.com/company/etse-electronics,Principal RF Design Engineer,2003-09,,ACTIVE,Information Technology,Senior,23
Tallahassee Orthopedic Clinic,https://www.linkedin.com/company/tocorthopedics,Physician Assistant,2023-01,,ACTIVE,Other,Professional,24
U.S. Department of Veterans Affairs,https://www.linkedin.com/company/department-of-veterans-affairs,Physician Assistant,2020-06,2023-01,INACTIVE,Other,Professional,24
Florida State University College of Medicine,,Physician Assistant Student,2017-08,2019-12,INACTIVE,Other,Junior,24
Department of Veterans Affairs,https://www.linkedin.com/company/department-of-veterans-affairs,Medical Technician,2012-08,2017-08,INACTIVE,Other,Professional,24
US Army,https://www.linkedin.com/company/us-army,Medical Laboratory Technician,2011-02,2012-07,INACTIVE,Other,Professional,24
US Army,https://www.linkedin.com/company/us-army,Medical Laboratory Technician,2007-07,2011-02,INACTIVE,Other,Professional,24
Fresenius Kabi,https://www.linkedin.com/company/freseniuskabi,Unternehmensinhaber,,,UNKNOWN,Other,Management,25
Portobello Shop,https://www.linkedin.com/company/portobello-shop,Consultor de vendas,,,UNKNOWN,Sales,Professional,26
Stork Lijmen,,Co-Owner,2002-01,,ACTIVE,Other,Management,27
Stork Lijmen,,CEO,2002-01,,ACTIVE,Other,Management,27
ESBA Horti Solutions BV,,CEO/Founder,2015-12,,ACTIVE,Other,Management,27
Döllken Kunststofverarbeitung GmbH,,sales manager,1989-06,2001-07,INACTIVE,Sales,Professional,27
Döllken,https://www.linkedin.com/company/d-llken,verkoopleider,1989-07,2001-06,INACTIVE,Sales,Lead,27
Countryside Body & Welding incCountryside Body & Welding Inc,https://www.linkedin.com/company/countryside-body-&-welding-inc,Sandblast and prep,2021-06,2022-02,INACTIVE,Other,Professional,28
